"Part";"Value";"Device";"Package";"Description";"PARTNO";
"BOOT";"BUTTON_TD1183SA";"BUTTON_TD1183SA";"BUTTON_TD1183SA";"德艺隆:TD-1183SA/311020740";"";
"C2";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C3";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C5";"10uF";"C-0402";"C0402";"Ceramic Capacitors";"";
"C6";"10uF";"C-0402";"C0402";"Ceramic Capacitors";"";
"C7";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C10";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C15";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C16";"1uF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C18";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C19";"12pF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C20";"12pF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"C21";"100nF";"CAP\0201NNS";"0201_NORMAL\NOSILK";"Ceramic Capacitors";"";
"D1";"DF2S6.8FS";"D-ESD-2P'DF2S6.8FS'";"SOD-923";"SOD-923:304060009;SOD-123:304060001";"";
"D2";"NRS0320MW2T1G";"DIODE_CAPACITANCE-SOD523";"SOD523";"Capacity DIODE";"";
"D8";"DF2S6.8FS";"D-ESD-2P'DF2S6.8FS'";"SOD-923";"SOD-923:304060009;SOD-123:304060001";"";
"D9";"DF2S6.8FS";"D-ESD-2P'DF2S6.8FS'";"SOD-923";"SOD-923:304060009;SOD-123:304060001";"";
"GND";"";"TEST-POINT'4080'";"TP-80X40MIL";"";"";
"J1";"";"SHIELDING-COVER-XIAO_RP2040_PRD";"SHIELDING-COVER_XIAO_RP2040_PRD";"";"";
"J2";"DNP";"HEADER-7P-HALF-HOLE-2.54";"H7-HALF-HOLE-2.54";"";"";
"J4";"DNP";"HEADER-7P-HALF-HOLE-2.54";"H7-HALF-HOLE-2.54";"";"";
"PWR";"RED";"LED-0402";"LED-0402";"";"";
"R1";"5.1k";"R-0201";"R0201";"";"";
"R2";"5.1k";"R-0201";"R0201";"";"";
"R3";"2.2K";"R-0201";"R0201";"";"";
"R4";"4.7K";"R-0201";"R0201";"";"";
"R5";"10k";"R-0201";"R0201";"";"";
"R6";"1k";"R-0201";"R0201";"";"";
"R7";"11K";"R-0201";"R0201";"";"";
"R14";"1k";"R-0201";"R0201";"";"";
"R22";"27R";"R-0201";"R0201";"";"";
"R23";"27R";"R-0201";"R0201";"";"";
"R24";"1k";"R-0201";"R0201";"";"";
"RESET";"BUTTON_TD1183SA";"BUTTON_TD1183SA";"BUTTON_TD1183SA";"德艺隆:TD-1183SA/311020740";"";
"RGB1";"LED_RGB_4P";"LED_RGB_4P";"LED_RGB_2427";"";"";
"RGB2";"";"LED_RGB_4P-1010";"1010-4P";"";"";
"TP1";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"TP3";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"TP5";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"TP6";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"U3";"GD25Q16CEIG_USON8_3X2MM";"GD25Q16CEIG_USON8_3X2MM";"GD25Q16CEIG_USON8_3X2MM";"";"";
"U4";"LDO_DFN11_4P";"LDO_DFN11_4P";"LDO_DFN1*1_4P";"";"";
"U6";"RP2040_QFN56";"RP2040_QFN56";"RP2040_QFN56";"";"";
"USB1";"";"USB2.0-TYPE-C";"USB2.0-TYPE-C";"";"";
"VIN";"";"TEST-POINT'4080'";"TP-80X40MIL";"";"";
"X3";"CRYSTAL_4P_2520";"CRYSTAL_4P_2520";"CRYSTAL_4P_2520";"";"";
